shipment_id,shipment_date,supplier_name,warehouse_location,product_category,units_ordered,delivery_delay_days,damaged_units
SHP00001,2026-02-12,Supplier_B,WH_West,Clothing,550,4,48
SHP00002,2026-02-25,Supplier_A,WH_South,Sports,896,2,31
SHP00003,2026-02-27,Supplier_C,WH_West,Home,817,6,45
SHP00004,2026-02-02,Supplier_C,WH_North,Home,678,7,9
SHP00005,2026-02-22,Supplier_C,WH_West,Electronics,830,7,31
SHP00006,2026-02-19,Supplier_C,WH_North,Sports,259,4,24
SHP00007,2026-02-13,Supplier_C,WH_West,Electronics,188,7,18
SHP00008,2026-02-28,Supplier_A,WH_West,Sports,931,4,65
SHP00009,2026-02-19,Supplier_C,WH_South,Electronics,686,8,61
SHP00010,2026-02-03,Supplier_B,WH_North,Home,312,1,19
SHP00011,2026-02-24,Supplier_C,WH_West,Clothing,766,8,68
SHP00012,2026-02-11,Supplier_B,WH_South,Clothing,590,3,9
SHP00013,2026-02-01,Supplier_C,WH_South,Sports,846,4,15
SHP00014,2026-02-02,Supplier_B,WH_West,Electronics,172,2,15
SHP00015,2026-02-24,Supplier_B,WH_West,Clothing,233,5,21
SHP00016,2026-02-08,Supplier_C,WH_South,Electronics,126,5,9
SHP00017,2026-02-04,Supplier_C,WH_North,Sports,829,4,49
SHP00018,2026-02-22,Supplier_A,WH_West,Sports,482,6,5
SHP00019,2026-02-20,Supplier_B,WH_South,Electronics,618,1,32
SHP00020,2026-02-07,Supplier_A,WH_South,Home,928,2,45
SHP00021,2026-02-26,Supplier_B,WH_North,Electronics,933,3,81
SHP00022,2026-02-02,Supplier_C,WH_South,Sports,947,6,3
SHP00023,2026-02-25,Supplier_B,WH_West,Electronics,354,3,13
SHP00024,2026-02-05,Supplier_B,WH_South,Electronics,953,3,3
SHP00025,2026-02-17,Supplier_A,WH_South,Sports,985,1,60
SHP00026,2026-02-09,Supplier_A,WH_North,Home,252,2,2
SHP00027,2026-02-09,Supplier_C,WH_South,Clothing,660,7,26
SHP00028,2026-02-20,Supplier_B,WH_South,Clothing,407,3,21
SHP00029,2026-02-13,Supplier_A,WH_North,Clothing,859,3,65
SHP00030,2026-02-21,Supplier_B,WH_North,Home,898,1,4
SHP00031,2026-02-04,Supplier_C,WH_North,Sports,667,6,33
SHP00032,2026-02-09,Supplier_C,WH_West,Sports,317,8,26
SHP00033,2026-02-13,Supplier_B,WH_North,Home,342,3,9
SHP00034,2026-02-05,Supplier_B,WH_North,Home,419,1,16
SHP00035,2026-02-10,Supplier_A,WH_North,Clothing,497,2,46
SHP00036,2026-02-01,Supplier_C,WH_North,Home,963,7,41
SHP00037,2026-02-02,Supplier_A,WH_North,Electronics,667,1,23
SHP00038,2026-02-08,Supplier_A,WH_North,Clothing,877,3,29
SHP00039,2026-02-24,Supplier_C,WH_North,Electronics,822,5,78
SHP00040,2026-02-01,Supplier_C,WH_North,Clothing,434,7,11
SHP00041,2026-02-18,Supplier_A,WH_North,Clothing,204,3,17
SHP00042,2026-02-18,Supplier_B,WH_West,Home,998,3,48
